Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,750.53,-2.1,1,0
0.092688,752.97,-2.15,1,0
0.1973,751.73,-2.1,1,0
0.297623,750.95,-2.1,1,0
0.406608,751.88,-2.1,1,0
0.496602,750.46,-2.1,1,0
0.610064,751.21,-2.15,1,0
0.70172,752.3,-2.1,1,0
0.795555,753.38,-2.1,1,0
0.897142,752.26,-2.15,1,0
0.99926,758.71,-2.1,1,0
1.099987,758.49,-2.1,1,0
1.192291,753.42,-2.1,1,0
1.301376,750.01,-2.1,1,0
1.392385,751.06,-2.1,1,0
1.491554,751.21,-2.1,1,0
1.593482,754.66,-2.15,1,0
1.693194,754.13,-2.1,1,0
1.793913,759.57,-2.1,1,0
1.903846,747.87,-2.1,1,0
2.00252,745.06,-2.1,1,0
2.099037,748.28,-2.1,1,0
2.191352,751.06,-2.15,1,0
2.291539,750.72,-2.1,1,0
2.390939,751.25,-2.1,1,0
2.492933,750.65,-2.1,1,0
2.605534,756.39,-2.1,1,0
2.702493,753.31,-2.1,1,0
2.798311,752.45,-2.1,1,0
2.899393,754.17,-2.1,1,0
2.993738,755.37,-2.1,1,0
3.101302,748.7,-2.15,1,0
3.191758,749.67,-2.1,1,0
3.292721,750.72,-2.1,1,0
3.393741,751.1,-2.15,1,0
3.495392,753.12,-2.1,1,0
3.608516,748.77,-2.1,1,0
3.692466,752.22,-2.1,1,0
3.807288,750.98,-2.15,1,0
3.901333,749.9,-2.1,1,0
3.992787,751.17,-2.1,1,0
4.103746,751.92,-2.1,1,0
4.191255,749.78,-2.1,1,0
4.302112,752.26,-2.1,1,0
4.401587,752.67,-2.1,1,0
4.492291,760.74,-2.15,1,0
4.602067,818.02,-2.1,1,0
4.704423,897.7,-2.1,1,0
4.802672,928.46,-2.15,1,0
4.902371,952.73,-2.1,1,0
5.001095,1211.83,-2.1,1,0
5.094161,1520.74,-2.1,1,0
5.193122,1789.71,-2.1,1,0
5.301951,2185.69,-2.1,1,0
5.403753,3206.04,-2.1,1,0
5.503375,5508.49,-2.1,1,0
5.60192,8385.53,-2.1,1,0
5.697416,8749.85,-2.1,1,0
5.795093,10901.88,-2.1,1,0
5.892654,15592.72,-2.15,1,0
6.00432,19758.77,-2.1,1,0
6.097211,22861.52,-2.1,1,0
6.200351,26352.63,-2.15,1,0
6.295687,34163.18,-2.15,1,0
6.394514,34689.0,-2.15,1,0
6.503837,36282.69,-2.15,1,0
6.61256,38412.43,-2.1,1,0
6.70088,39391.25,-2.15,1,0
6.792693,40596.46,-2.1,1,0
6.891591,43133.07,-2.15,1,0
6.995995,43297.56,-2.1,1,0
7.094371,44318.05,-2.15,1,0
7.196165,45016.84,-2.15,1,0
7.305753,45987.55,-2.1,1,0
7.403318,47083.41,-2.1,1,0
7.50339,47437.5,-2.15,1,0
7.598652,48115.91,-2.1,1,0
7.696034,48371.45,-2.1,1,0
7.798731,48680.37,-2.15,1,0
7.896333,48521.5,-2.15,1,0
7.997712,48481.66,-2.15,1,0
8.097624,48292.93,-2.15,1,0
8.197807,48429.41,-2.15,1,0
8.307303,48837.58,-2.15,1,0
8.401906,49199.28,-2.1,1,0
8.500896,49371.99,-2.1,1,0
8.595946,49619.5,-2.15,1,0
8.698023,49692.87,-2.15,1,0
8.800591,50315.02,-2.15,1,0
8.89602,50369.56,-2.1,1,0
8.996933,50546.7,-2.15,1,0
9.097079,50722.11,-2.1,1,0
9.195546,50586.57,-2.1,1,0
9.292131,50268.91,-2.2,1,0
9.40371,50053.59,-2.1,1,0
9.502829,49862.99,-2.15,1,0
9.597861,49727.95,-2.1,1,0
9.697433,49647.7,-2.1,1,0
9.79735,49597.36,-2.15,1,0
9.896018,49696.73,-2.15,1,0
9.999229,49795.02,-2.1,1,0
10.096518,49577.74,-2.15,1,0
10.192574,49345.16,-2.15,1,0
10.306514,49172.98,-2.15,1,0
10.401305,49334.51,-2.1,1,0
10.500203,49543.79,-2.15,1,0
10.59449,49724.12,-2.1,1,0
10.694317,50444.66,-2.1,1,0
10.796859,50545.35,-2.1,1,0
10.90132,50719.89,-2.15,1,0
10.993841,50841.88,-2.1,1,0
11.09897,50825.68,-2.1,1,0
11.200395,50741.65,-2.15,1,0
11.296276,50962.82,-2.1,1,0
11.393187,51264.99,-2.2,1,0
11.505132,51338.36,-2.05,1,0
11.5985,51381.2,-2.15,1,0
11.698524,51259.29,-2.1,1,0
11.797235,50899.43,-2.15,1,0
11.90137,50680.36,-2.1,1,0
12.003392,51410.8,-2.15,1,0
12.102732,51806.63,-2.1,1,0
12.19791,51931.48,-2.15,1,0
12.294193,51758.24,-2.1,1,0
12.392423,51630.62,-2.15,1,0
12.505095,51210.03,-2.1,1,0
12.59876,49845.66,-2.1,1,0
12.697925,49525.83,-2.1,1,0
12.797798,49269.91,-2.1,1,0
12.897528,49549.65,-2.1,1,0
12.998234,49859.02,-2.1,1,0
13.096087,50017.84,-2.1,1,0
13.196455,50371.51,-2.15,1,0
13.292218,50475.42,-2.1,1,0
13.404067,50357.11,-2.1,1,0
13.500906,50319.26,-2.1,1,0
13.596499,50372.34,-2.1,1,0
13.694924,50508.29,-2.1,1,0
13.793513,50559.45,-2.15,1,0
13.894737,50712.05,-2.1,1,0
13.994659,50699.48,-2.15,1,0
14.095993,50488.81,-2.1,1,0
14.196383,50450.36,-2.1,1,0
14.291721,50608.63,-2.15,1,0
14.402822,50951.61,-2.15,1,0
14.500698,51595.36,-2.1,1,0
14.595506,52250.11,-2.1,1,0
14.693869,51950.57,-2.15,1,0
14.792978,52166.23,-2.1,1,0
14.893917,52650.63,-2.15,1,0
14.995398,52809.54,-2.1,1,0
15.096621,52308.21,-2.1,1,0
15.194409,51844.04,-2.1,1,0
15.306905,51793.36,-2.1,1,0
15.391422,51800.14,-2.1,1,0
15.501775,51855.89,-2.1,1,0
15.595765,51710.08,-2.1,1,0
15.695368,51694.88,-2.15,1,0
15.798744,51872.13,-2.1,1,0
15.896127,51967.41,-2.1,1,0
15.994677,52108.54,-2.15,1,0
16.10056,52203.45,-2.1,1,0
16.19816,52158.13,-2.1,1,0
16.293389,52070.87,-2.1,1,0
16.40934,52035.16,-2.1,1,0
16.500033,52176.55,-2.15,1,0
16.597345,52094.39,-2.1,1,0
16.703557,52051.86,-2.1,1,0
16.799115,52126.84,-2.15,1,0
16.898713,52187.65,-2.15,1,0
16.998794,52247.3,-2.1,1,0
17.099612,52222.09,-2.1,1,0
17.199268,52278.02,-2.15,1,0
17.294693,52412.5,-2.1,1,0
17.394036,52496.53,-2.15,1,0
17.491635,52512.66,-2.1,1,0
17.591298,52535.05,-2.15,1,0
17.703292,52571.67,-2.1,1,0
17.791186,52562.78,-2.1,1,0
17.891452,52444.5,-2.1,1,0
17.993524,52449.15,-2.15,1,0
18.092684,52504.89,-2.1,1,0
18.206184,52533.78,-2.15,1,0
18.299871,52495.44,-2.1,1,0
18.399468,52495.52,-2.1,1,0
18.494958,52513.48,-2.1,1,0
18.595663,52542.33,-2.1,1,0
18.693688,52456.02,-2.15,1,0
18.795189,52447.09,-2.15,1,0
18.901122,52477.29,-2.15,1,0
18.996027,52423.72,-2.15,1,0
19.095033,52518.36,-2.1,1,0
19.207225,52560.27,-2.1,1,0
19.302966,52564.95,-2.1,1,0
19.399761,52620.62,-2.15,1,0
19.497496,52504.52,-2.15,1,0
19.595519,52610.79,-2.1,1,0
19.691547,52636.86,-2.1,1,0
19.796848,52614.92,-2.1,1,0
19.895833,52635.59,-2.15,1,0
19.996962,52651.68,-2.15,1,0
20.093834,52677.83,-2.15,1,0
20.204964,52706.04,-2.1,1,0
20.300293,53204.28,-2.15,1,0
20.400966,53586.5,-2.1,1,0
20.495752,53540.25,-2.1,1,0
20.593745,52737.02,-2.15,1,0
20.698033,51509.57,-2.1,1,0
20.795655,50603.83,-2.15,1,0
20.893551,50619.13,-2.15,1,0
20.993557,51076.19,-2.1,1,0
21.093144,51099.78,-2.1,1,0
21.203442,51022.36,-2.1,1,0
21.298485,51170.79,-2.1,1,0
21.399379,51592.18,-2.15,1,0
21.491376,51669.79,-2.1,1,0
21.592096,51519.74,-2.15,1,0
21.694101,51374.53,-2.15,1,0
21.795954,51279.17,-2.15,1,0
21.896784,51730.04,-2.15,1,0
21.999905,51363.76,-2.1,1,0
22.097421,50971.45,-2.15,1,0
22.205377,51179.39,-2.15,1,0
22.29814,51405.4,-2.1,1,0
22.40698,51425.84,-2.3,1,0
22.49667,51329.29,-2.0,1,0
22.59778,51553.95,-2.15,1,0
22.691479,51693.46,-2.1,1,0
22.798503,51287.38,-2.15,1,0
22.90147,51409.52,-2.1,1,0
22.991105,51526.9,-2.1,1,0
23.097978,51640.57,-2.15,1,0
23.193656,51715.93,-2.1,1,0
23.301668,51723.96,-2.2,1,0
23.39339,51578.45,-2.1,1,0
23.505717,51519.55,-2.15,1,0
23.59813,51486.73,-2.1,1,0
23.697856,51497.83,-2.2,1,0
23.794112,51330.67,-2.1,1,0
23.893426,51220.99,-2.15,1,0
24.002929,51339.34,-2.1,1,0
24.091682,51527.02,-2.1,1,0
24.194741,51592.44,-2.15,1,0
24.299391,51606.13,-2.1,1,0
24.393141,51546.48,-2.15,1,0
24.503617,51572.82,-2.1,1,0
24.603945,51539.81,-2.15,1,0
24.701578,51586.59,-2.1,1,0
24.795464,51620.54,-2.1,1,0
24.8946,51557.36,-2.15,1,0
25.001062,51513.62,-2.15,1,0
25.096178,51521.31,-2.1,1,0
25.195857,51333.71,-2.1,1,0
25.296312,51423.52,-2.15,1,0
25.394722,51386.83,-2.1,1,0
25.507511,51374.11,-2.15,1,0
25.604434,51451.61,-2.15,1,0
25.70386,51457.65,-2.1,1,0
25.797938,51554.21,-2.15,1,0
25.892355,51653.39,-2.15,1,0
25.998581,51649.87,-2.9,1,0
26.09868,51696.16,-5.75,1,0
26.197327,51698.86,-917.2,1,1
26.298444,51644.54,-696.75,0,1
26.396671,51626.2,-576.7,0,1
26.491419,51538.2,-540.65,0,1
26.604591,51536.8,-531.95,0,1
26.700822,51557.77,-451.2,0,1
26.797504,51435.11,-403.25,0,1
26.896107,51507.81,-453.0,0,1
26.99517,51563.25,-444.45,0,1
27.100286,51569.7,-535.75,0,1
27.198354,51632.8,-454.95,0,1
27.297258,51605.3,-502.8,0,1
27.395693,51600.43,-421.55,0,1
27.49132,51602.23,-376.15,0,1
27.592218,51506.08,-402.2,0,1
27.703311,51432.71,-406.75,0,1
27.797554,51454.91,-454.35,0,1
27.895278,51485.82,-501.1,0,1
27.997894,51477.91,-493.7,0,1
28.09565,51459.87,-492.45,0,1
28.195813,51428.32,-475.95,0,1
28.298252,51425.8,-450.15,0,1
28.393123,51406.41,-442.6,0,1
28.491315,51401.05,-503.25,0,1
28.604001,51408.96,-447.2,0,1
28.70246,51486.5,-485.25,0,1
28.795055,51572.93,-470.5,0,1
28.89908,51565.62,-479.5,0,1
28.996722,51517.04,-491.05,0,1
29.098484,51551.32,-479.0,0,1
29.196909,51607.37,-470.3,0,1
29.298708,51491.12,-465.55,0,1
29.396092,51509.61,-475.6,0,1
29.496993,51356.93,-388.2,0,1
29.595235,51233.14,-388.7,0,1
29.704932,51218.51,-447.75,0,1
29.800058,51452.89,-493.5,0,1
29.896193,51862.08,-493.35,0,1
30.00193,52353.72,-501.2,0,1
30.091052,52829.16,-461.85,0,1
30.203027,52965.03,-449.5,0,1
30.302657,52931.08,-453.5,0,1
30.39571,52986.59,-453.7,0,1
30.493339,53085.89,-463.0,0,1
30.595188,53158.48,-487.5,0,1
30.699265,53074.41,-498.55,0,1
30.800662,53134.06,-475.3,0,1
30.903497,53220.75,-499.05,0,1
31.000376,53193.55,-503.25,0,1
31.092072,53022.46,-470.0,0,1
31.194743,52920.12,-455.5,0,1
31.293615,52851.14,-491.4,0,1
31.397275,52889.14,-450.3,0,1
31.494373,52976.47,-509.0,0,1
31.596535,53048.75,-529.45,0,1
31.695325,53132.22,-461.2,0,1
31.791777,53054.3,-476.65,0,1
31.902714,53184.7,-478.35,0,1
32.002279,53262.8,-474.05,0,1
32.101025,53295.14,-488.75,0,1
32.198253,53310.89,-423.0,0,1
32.300639,53118.94,-465.95,0,1
32.397767,53082.78,-490.8,0,1
32.497915,53100.52,-465.3,0,1
32.603778,53017.62,-471.0,0,1
32.698869,52960.71,-473.4,0,1
32.793688,53078.69,-465.5,0,1
32.903375,53103.9,-469.4,0,1
33.00856,53185.37,-513.85,0,1
33.091614,53184.25,-480.0,0,1
33.200686,53129.78,-486.9,0,1
33.296517,53166.8,-487.6,0,1
33.391475,53193.03,-501.35,0,1
33.494239,53177.54,-501.15,0,1
33.591431,53031.2,-485.3,0,1
33.691734,53040.58,-470.25,0,1
33.79963,53077.75,-486.65,0,1
33.899555,53141.22,-502.4,0,1
33.996499,53116.28,-485.1,0,1
34.099138,53105.92,-458.1,0,1
34.19487,53069.39,-476.0,0,1
34.293336,52939.89,-479.25,0,1
34.394651,52898.33,-502.6,0,1
34.501904,52962.14,-484.5,0,1
34.594303,52969.6,-478.75,0,1
34.695288,52969.71,-482.05,0,1
34.794248,53045.75,-492.4,0,1
34.902642,52974.74,-518.35,0,1
34.999482,53006.29,-490.15,0,1
35.09938,52875.45,-521.0,0,1
35.201881,52970.24,-499.95,0,1
35.297422,53061.36,-499.15,0,1
35.400403,53096.32,-555.6,0,1
35.500439,53128.32,-474.0,0,1
35.596224,53142.57,-442.6,0,1
35.695229,53235.57,-463.05,0,1
