Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,753.95,-2.05,1,0
0.111037,752.33,-2.05,1,0
0.199564,753.31,-2.05,1,0
0.306117,755.37,-2.05,1,0
0.401636,754.62,-2.05,1,0
0.513215,753.2,-2.05,1,0
0.6121,752.82,-2.05,1,0
0.708631,752.6,-2.05,1,0
0.807402,751.28,-2.05,1,0
0.91102,751.25,-2.05,1,0
1.010719,755.75,-2.05,1,0
1.103013,754.43,-2.05,1,0
1.206706,750.01,-2.05,1,0
1.314939,752.48,-2.05,1,0
1.402865,753.38,-2.05,1,0
1.501008,753.42,-2.05,1,0
1.603992,752.45,-2.05,1,0
1.702659,755.37,-2.05,1,0
1.804168,758.37,-2.05,1,0
1.902884,760.92,-2.05,1,0
2.009359,750.05,-2.05,1,0
2.109874,753.65,-2.05,1,0
2.206058,754.55,-2.05,1,0
2.300666,761.45,-2.05,1,0
2.410309,762.46,-2.05,1,0
2.50741,752.3,-2.05,1,0
2.598409,753.68,-2.05,1,0
2.697615,760.62,-2.05,1,0
2.797731,756.01,-2.05,1,0
2.897498,746.37,-2.05,1,0
3.002595,764.23,-2.05,1,0
3.097265,761.34,-2.05,1,0
3.202751,742.92,-2.05,1,0
3.301617,757.44,-2.05,1,0
3.402864,753.83,-2.05,1,0
3.499053,753.31,-2.05,1,0
3.59726,752.9,-2.05,1,0
3.708411,752.48,-2.05,1,0
3.804013,755.34,-2.05,1,0
3.907016,753.01,-2.05,1,0
4.004122,752.52,-2.05,1,0
4.103425,769.29,-2.05,1,0
4.197545,666.13,-2.05,1,0
4.304427,544.21,-2.05,1,0
4.402162,596.73,-2.05,1,0
4.499557,869.37,-2.05,1,0
4.61163,943.61,-2.05,1,0
4.70739,827.51,-2.05,1,0
4.800012,759.69,-2.05,1,0
4.90394,754.62,-2.05,1,0
5.001812,752.37,-2.05,1,0
5.101226,752.48,-2.05,1,0
5.203267,753.38,-2.05,1,0
5.305671,752.33,-2.05,1,0
5.401463,753.8,-2.05,1,0
5.499531,755.07,-2.05,1,0
5.59868,753.16,-2.05,1,0
5.709144,754.28,-2.05,1,0
5.804917,805.64,-2.05,1,0
5.902983,950.85,-2.05,1,0
6.002122,1181.89,-2.05,1,0
