Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,55746.78,-2.25,1,0
0.080266,55737.44,-2.25,1,0
0.178926,55698.61,-2.25,1,0
0.28278,55642.61,-2.25,1,0
0.382044,55622.2,-2.25,1,0
0.486257,55590.05,-2.25,1,0
0.574794,55577.3,-2.25,1,0
0.684594,55637.73,-2.25,1,0
0.79083,55657.65,-2.25,1,0
0.875434,55676.22,-2.25,1,0
0.977411,55633.83,-2.25,1,0
1.079841,55636.61,-2.25,1,0
1.181301,55681.7,-2.25,1,0
1.276853,55591.66,-2.25,1,0
1.376551,55629.14,-2.25,1,0
1.482893,55640.2,-2.25,1,0
1.583256,55572.08,-2.25,1,0
1.674984,55530.14,-2.25,1,0
1.786402,55416.03,-2.25,1,0
1.881397,54744.85,-2.25,1,0
1.97953,54021.27,-2.25,1,0
2.078327,53747.62,-2.25,1,0
2.184712,53774.47,-2.25,1,0
2.284765,53962.98,-2.25,1,0
2.37959,53926.4,-2.25,1,0
2.480403,53495.72,-2.25,1,0
2.576557,53373.8,-2.25,1,0
2.689791,52957.67,-2.25,1,0
2.788754,52652.13,-2.25,1,0
2.881368,52583.18,-2.25,1,0
2.985094,53086.68,-2.25,1,0
3.08363,52155.5,-2.25,1,0
3.19182,51888.22,-2.25,1,0
3.279227,52210.76,-2.3,1,0
3.377743,52153.78,-2.25,1,0
3.474173,51718.67,-2.25,1,0
3.581016,52099.35,-2.25,1,0
3.677436,53904.38,-2.25,1,0
3.776414,54283.45,-2.25,1,0
3.887169,54541.16,-2.25,1,0
3.9814,54926.23,-2.25,1,0
4.077346,55099.35,-2.25,1,0
4.185026,55085.09,-2.25,1,0
4.283738,55053.36,-2.25,1,0
4.389408,55135.25,-2.25,1,0
4.484687,55154.53,-2.25,1,0
4.584119,55324.09,-2.25,1,0
4.680961,55375.74,-2.25,1,0
4.783808,55424.39,-2.25,1,0
4.875315,55432.5,-2.25,1,0
4.978277,55182.48,-2.25,1,0
5.077683,55421.21,-2.25,1,0
5.186673,55461.53,-2.25,1,0
5.278667,55487.41,-2.25,1,0
5.37526,55465.62,-2.25,1,0
5.486082,55517.61,-2.25,1,0
5.585168,55512.47,-2.25,1,0
5.68417,55492.48,-2.25,1,0
5.775526,55474.47,-2.25,1,0
5.875288,55350.31,-2.25,1,0
5.981752,55372.52,-2.25,1,0
6.085205,55475.82,-2.25,1,0
6.182785,55702.14,-2.25,1,0
6.279942,56068.15,-2.25,1,0
6.379489,55784.52,-2.25,1,0
6.488051,55998.0,-2.25,1,0
6.580274,56361.46,-2.25,1,0
6.691317,56300.13,-2.25,1,0
6.774198,56334.75,-2.25,1,0
6.880808,56313.07,-2.25,1,0
6.977646,56254.14,-2.3,1,0
7.079284,56238.31,-3.6,1,0
7.176312,56300.84,-5.2,1,0
7.274848,56294.2,-697.25,1,1
7.38637,56299.11,-1082.2,0,1
7.480374,56314.98,-1002.55,0,1
7.578029,56287.75,-799.9,0,1
7.674726,56275.33,-667.45,0,1
7.783431,56271.69,-589.65,0,1
7.875102,56239.92,-619.2,0,1
7.974921,56309.92,-739.25,0,1
8.083769,56337.9,-861.05,0,1
8.184796,56329.05,-723.75,0,1
8.281647,56312.17,-719.9,0,1
8.380163,56398.71,-702.4,0,1
8.48269,56473.25,-563.25,0,1
8.578663,56542.27,-509.95,0,1
8.677996,56521.11,-721.8,0,1
8.774593,56529.63,-599.1,0,1
8.882928,56427.37,-593.75,0,1
8.976643,56402.46,-335.0,0,1
9.074994,56413.94,-288.45,0,1
9.181701,56376.46,-339.15,0,1
9.281126,56357.56,-308.95,0,1
9.380063,56226.04,-508.0,0,1
9.47493,56273.79,-594.65,0,1
9.585201,56006.82,-504.1,0,1
9.685168,55671.83,-443.05,0,1
9.782829,55697.22,-361.5,0,1
9.889425,55679.86,-518.15,0,1
9.982058,55839.62,-537.5,0,1
10.081298,55969.23,-440.15,0,1
10.174216,55946.72,-431.5,0,1
10.281384,55954.22,-626.0,0,1
10.384454,55985.96,-559.3,0,1
10.481282,56010.38,-526.35,0,1
10.58111,55994.18,-516.7,0,1
10.680571,56012.67,-512.95,0,1
10.780825,56118.68,-385.15,0,1
10.876482,56109.75,-575.0,0,1
10.983499,56173.04,-643.0,0,1
11.079786,56231.55,-601.65,0,1
11.175983,56238.38,-718.35,0,1
11.287155,56070.51,-512.55,0,1
11.381084,56030.07,-619.1,0,1
11.476771,56088.52,-603.8,0,1
11.578338,56146.03,-519.2,0,1
11.673968,56185.0,-448.5,0,1
11.784464,56223.04,-514.0,0,1
11.882368,56183.01,-400.75,0,1
