Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,52630.56,-2.25,1,0
0.103156,52488.39,-2.25,1,0
0.194407,52522.86,-2.25,1,0
0.294135,52568.59,-2.25,1,0
0.395651,52756.98,-2.25,1,0
0.493112,52736.91,-2.25,1,0
0.590157,52637.43,-2.25,1,0
0.690744,52653.97,-2.25,1,0
0.799924,52661.21,-2.25,1,0
0.896341,52646.69,-2.25,1,0
1.005169,52590.65,-2.25,1,0
1.099113,52601.45,-2.25,1,0
1.20349,52601.19,-2.25,1,0
1.301115,52604.98,-2.25,1,0
1.407729,52470.46,-2.25,1,0
1.49188,52490.19,-2.25,1,0
1.591826,52577.33,-2.25,1,0
1.690324,52510.3,-2.25,1,0
1.800798,52547.51,-2.25,1,0
1.896104,52540.27,-2.25,1,0
1.993226,52480.32,-2.25,1,0
2.1017,52578.87,-2.25,1,0
2.198385,52523.99,-2.25,1,0
2.290778,52512.55,-2.25,1,0
2.402196,52584.27,-2.25,1,0
2.500155,52692.5,-2.3,1,0
2.607086,52654.35,-2.3,1,0
2.69156,53011.84,-2.25,1,0
2.796455,53490.35,-2.25,1,0
2.898894,53372.79,-2.25,1,0
2.992772,53206.64,-2.25,1,0
3.097073,53002.84,-2.25,1,0
3.196753,53014.5,-2.25,1,0
3.301447,53303.77,-2.25,1,0
3.396466,53306.43,-2.25,1,0
3.493661,53038.7,-2.25,1,0
3.608213,53118.94,-2.3,1,0
3.693449,53063.16,-2.3,1,0
3.791662,53056.86,-2.25,1,0
3.896871,53039.34,-2.25,1,0
3.993328,52920.72,-2.25,1,0
4.090795,52927.32,-2.25,1,0
4.195807,53028.61,-2.3,1,0
4.290525,52997.36,-2.3,1,0
4.399124,52981.98,-2.3,1,0
4.490252,53635.23,-2.3,1,0
4.591244,54331.31,-2.25,1,0
4.697226,54131.11,-2.25,1,0
4.803117,52792.62,-2.25,1,0
4.89775,51870.78,-2.25,1,0
5.002881,51924.76,-2.25,1,0
5.104399,52119.87,-2.25,1,0
5.199901,52442.32,-2.25,1,0
5.296584,52993.01,-2.25,1,0
5.400186,53366.71,-2.25,1,0
5.499083,53486.19,-2.25,1,0
5.596548,53248.06,-2.25,1,0
5.696043,52940.68,-2.25,1,0
5.794028,52541.25,-2.3,1,0
5.890946,52603.14,-2.25,1,0
6.000507,52671.3,-2.25,1,0
6.093924,52770.9,-2.25,1,0
6.190718,52902.27,-2.25,1,0
6.301795,52662.6,-2.25,1,0
6.395522,51613.37,-2.25,1,0
6.491993,50919.2,-2.25,1,0
6.595269,50619.77,-2.25,1,0
6.695448,50476.02,-2.25,1,0
6.79647,50592.46,-2.25,1,0
6.896261,50408.09,-2.25,1,0
6.995785,50298.96,-2.25,1,0
7.092998,50245.88,-2.25,1,0
7.19153,50210.06,-2.25,1,0
7.298609,50251.17,-2.25,1,0
7.398777,50393.01,-2.25,1,0
7.491655,50535.37,-2.25,1,0
7.599728,50605.74,-2.25,1,0
7.696618,50900.18,-2.25,1,0
7.795996,51030.27,-2.25,1,0
7.894455,51084.89,-2.25,1,0
7.995192,50917.73,-2.25,1,0
8.09183,51077.73,-2.25,1,0
8.201393,51219.26,-2.25,1,0
8.299574,51203.99,-2.3,1,0
8.395617,51296.76,-2.3,1,0
8.494106,51381.73,-2.25,1,0
8.611413,51298.75,-2.25,1,0
8.693642,51363.09,-2.25,1,0
8.792192,51414.48,-2.25,1,0
8.897435,51463.84,-2.25,1,0
8.999634,51498.96,-2.25,1,0
9.098407,51416.61,-2.25,1,0
9.191473,51400.64,-2.25,1,0
9.291636,51325.35,-2.25,1,0
9.391052,51223.24,-2.25,1,0
9.497993,51143.15,-2.25,1,0
9.59454,51327.52,-2.25,1,0
9.701575,51264.28,-2.25,1,0
9.797147,51100.76,-2.25,1,0
9.890837,51163.52,-2.25,1,0
9.999195,51302.2,-2.25,1,0
10.098819,51295.34,-2.25,1,0
10.199303,51146.9,-2.25,1,0
10.295052,51151.59,-2.25,1,0
10.394201,51179.5,-2.25,1,0
10.495954,51242.67,-2.25,1,0
10.595434,51205.46,-2.25,1,0
10.698289,51219.11,-2.25,1,0
10.806899,51187.45,-2.25,1,0
10.890895,51189.85,-2.25,1,0
10.998765,51195.14,-2.25,1,0
11.093769,51202.61,-2.25,1,0
11.190402,51261.57,-2.25,1,0
11.301574,51258.09,-2.25,1,0
11.397074,51218.32,-2.25,1,0
11.494684,51078.25,-2.25,1,0
11.600619,51090.55,-2.25,1,0
11.692273,50388.13,-2.25,1,0
11.802197,50647.49,-2.25,1,0
11.897499,51065.87,-2.25,1,0
11.993659,51583.17,-2.25,1,0
12.092104,51234.9,-2.25,1,0
12.202217,51470.63,-2.25,1,0
12.294863,51427.2,-2.25,1,0
12.391468,51276.69,-2.25,1,0
12.490995,51014.18,-2.25,1,0
12.600166,51048.35,-2.25,1,0
12.699805,51040.32,-2.25,1,0
12.796193,51232.43,-2.25,1,0
12.898917,51074.43,-2.25,1,0
12.990785,50979.14,-2.25,1,0
13.100389,51153.2,-2.25,1,0
13.192612,51466.13,-2.25,1,0
13.291687,51354.79,-2.25,1,0
13.401875,51266.6,-2.25,1,0
13.494271,51252.61,-2.25,1,0
13.590067,50736.4,-2.25,1,0
13.691049,50251.77,-2.25,1,0
13.795635,49239.08,-2.25,1,0
13.89536,47876.39,-2.25,1,0
13.993859,46019.48,-2.25,1,0
14.093632,46031.59,-2.25,1,0
14.196716,46734.62,-2.25,1,0
14.295438,47729.53,-2.25,1,0
14.403302,48565.69,-2.25,1,0
14.495298,48736.04,-2.25,1,0
14.59232,48611.57,-2.25,1,0
14.700557,48002.06,-2.25,1,0
14.794905,47875.72,-2.25,1,0
14.890048,47921.63,-2.25,1,0
15.000282,47902.69,-2.25,1,0
15.096672,47963.31,-2.25,1,0
15.191431,48086.65,-2.25,1,0
15.295385,48257.79,-2.25,1,0
15.393809,48240.61,-2.25,1,0
15.501343,48154.1,-2.25,1,0
15.595001,48199.38,-2.25,1,0
15.69515,48239.78,-2.25,1,0
15.793059,48304.98,-2.25,1,0
15.902145,48246.01,-2.25,1,0
15.994208,48292.82,-2.25,1,0
16.092027,48256.4,-2.25,1,0
16.200292,48227.7,-2.25,1,0
16.292571,48142.29,-2.25,1,0
16.40066,48063.81,-2.25,1,0
16.493118,47938.82,-2.25,1,0
16.603904,47970.06,-2.25,1,0
16.699963,48023.67,-2.25,1,0
16.792722,48091.71,-2.25,1,0
16.891536,48136.47,-2.25,1,0
17.001518,48074.31,-2.25,1,0
17.095233,48034.06,-2.25,1,0
17.191332,48217.72,-2.25,1,0
17.29072,48330.67,-2.25,1,0
17.394225,48440.02,-2.25,1,0
17.490486,48545.73,-2.25,1,0
17.600608,48500.42,-2.25,1,0
17.695298,48429.71,-2.25,1,0
17.796367,48173.42,-2.25,1,0
17.891641,47029.13,-2.25,1,0
18.002506,46550.58,-2.25,1,0
18.095188,46542.41,-2.25,1,0
18.203039,47011.77,-2.25,1,0
18.308401,48186.06,-2.25,1,0
18.391795,49077.36,-2.3,1,0
18.490504,49588.43,-2.3,1,0
18.599303,51172.67,-2.25,1,0
18.70067,52299.14,-2.25,1,0
18.793706,53058.17,-2.25,1,0
18.895116,54130.28,-2.25,1,0
