Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,53019.01,-2.15,1,0
0.094214,53073.25,-2.15,1,0
0.204525,53013.53,-2.15,1,0
0.301587,53053.86,-2.15,1,0
0.401862,53149.36,-2.15,1,0
0.499554,53177.46,-2.15,1,0
0.598011,53230.28,-2.15,1,0
0.695413,53236.32,-2.15,1,0
0.804303,53170.11,-2.15,1,0
0.893754,53225.85,-2.15,1,0
1.002439,53098.2,-2.15,1,0
1.099431,53703.8,-2.15,1,0
1.20036,53482.55,-2.15,1,0
1.295049,53665.8,-2.15,1,0
1.395286,53993.32,-2.15,1,0
1.495805,54314.96,-2.15,1,0
1.600072,54303.59,-2.15,1,0
1.701752,53561.44,-2.15,1,0
1.79957,53337.68,-2.15,1,0
1.902667,53247.68,-2.1,1,0
2.010231,53540.02,-2.15,1,0
2.104432,53858.32,-2.15,1,0
2.19967,54071.31,-2.15,1,0
2.295536,54327.45,-2.15,1,0
2.392483,54399.32,-2.15,1,0
2.502326,54828.43,-2.15,1,0
2.603333,55024.4,-2.15,1,0
2.694443,54602.61,-2.15,1,0
2.79253,53512.97,-2.15,1,0
2.902926,52856.46,-2.15,1,0
3.00339,52090.12,-2.15,1,0
3.102767,53041.62,-2.15,1,0
3.202637,53766.6,-2.15,1,0
3.307677,53990.25,-2.2,1,0
3.404372,54119.1,-2.7,1,0
3.49936,54420.55,-2.75,1,0
3.610044,54520.75,-3.1,1,0
3.697182,54806.0,-2.9,1,0
3.803507,55018.96,-2.9,1,0
3.899899,55107.0,-3.0,1,0
3.998553,54892.73,-236.35,1,1
4.096466,54721.93,-753.25,0,1
4.2008,54521.99,-1035.8,0,1
4.299019,54266.98,-1012.15,0,1
4.394489,54125.29,-825.15,0,1
4.50378,54155.6,-1200.35,0,1
4.599821,54086.54,-978.55,0,1
4.69419,54063.29,-145.85,1,1
4.792589,53974.12,-362.1,1,1
4.899545,53802.2,-189.35,1,1
4.996857,53926.62,-243.65,1,1
5.094756,54072.7,-439.3,1,1
5.193861,54154.44,-1.15,1,0
5.304569,54050.83,-191.1,1,1
5.40025,54038.34,-841.55,0,1
5.498685,54004.46,-617.5,1,1
5.607274,53794.8,-2.5,1,0
5.701761,53742.03,-1.05,1,0
5.803289,53798.45,-648.05,1,1
5.907227,53731.11,-769.3,0,1
6.004183,53713.44,-468.45,0,1
