Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,2109.13,-2.05,1,0
0.100719,2111.04,-2.05,1,0
0.199854,2110.18,-2.05,1,0
0.301545,2109.69,-2.05,1,0
0.405931,2109.32,-2.05,1,0
0.504608,2109.05,-2.05,1,0
0.604887,2111.61,-2.05,1,0
0.707613,2110.82,-2.05,1,0
0.802639,2110.03,-2.05,1,0
0.901183,2109.05,-2.05,1,0
0.997768,2109.09,-2.05,1,0
1.098925,2108.19,-2.05,1,0
1.197528,2107.97,-2.05,1,0
1.300608,2110.52,-2.05,1,0
1.401849,2111.83,-2.05,1,0
1.503825,2112.84,-2.05,1,0
1.601019,2111.04,-2.05,1,0
1.696113,2110.52,-2.05,1,0
1.811739,2112.51,-2.05,1,0
1.90679,2111.76,-2.05,1,0
2.005635,2111.61,-2.05,1,0
2.094946,2110.93,-2.05,1,0
2.195722,2109.81,-2.05,1,0
2.295657,2109.05,-2.05,1,0
2.401342,2109.43,-2.05,1,0
2.509884,2109.96,-2.05,1,0
2.597708,2108.23,-2.05,1,0
2.710356,2109.39,-2.05,1,0
2.807586,2109.54,-2.05,1,0
2.899095,2110.82,-2.05,1,0
2.998363,2110.93,-2.05,1,0
3.097927,2110.07,-2.05,1,0
3.195223,2108.98,-2.05,1,0
3.295572,2110.07,-2.05,1,0
3.398258,2109.32,-2.05,1,0
3.498171,2108.64,-2.05,1,0
3.599296,2107.14,-2.05,1,0
3.698678,2109.96,-2.05,1,0
3.797311,2110.37,-2.05,1,0
3.899492,2109.66,-2.05,1,0
3.997189,2109.96,-2.05,1,0
4.105723,2110.59,-2.05,1,0
4.20225,2109.99,-2.05,1,0
4.299942,2111.53,-2.05,1,0
4.41128,2108.83,-2.05,1,0
4.506474,2111.04,-2.05,1,0
4.603419,2112.24,-2.05,1,0
4.699038,2112.51,-2.05,1,0
4.800069,2110.78,-2.05,1,0
4.904831,2110.67,-2.05,1,0
4.999905,2110.14,-2.05,1,0
5.102334,2112.24,-2.05,1,0
5.196126,2110.29,-2.05,1,0
5.296271,2112.73,-2.05,1,0
5.409233,2110.41,-2.05,1,0
5.500319,2110.18,-2.05,1,0
5.608224,2111.49,-2.05,1,0
5.699411,2111.57,-2.05,1,0
5.798121,2110.26,-2.05,1,0
5.895627,2108.87,-2.05,1,0
5.996052,2109.73,-2.05,1,0
6.096303,2112.06,-2.05,1,0
6.206204,2109.69,-2.05,1,0
6.305965,2111.91,-2.05,1,0
6.401696,2112.47,-2.05,1,0
6.497709,2111.34,-2.05,1,0
6.603735,2110.37,-2.05,1,0
6.70432,2109.84,-2.05,1,0
6.798409,2108.83,-2.05,1,0
6.912725,2108.27,-2.05,1,0
7.009391,2107.25,-2.05,1,0
7.097758,2110.22,-2.05,1,0
7.194475,2112.69,-2.05,1,0
7.303746,2106.58,-2.05,1,0
7.394536,2105.0,-2.05,1,0
7.500563,2104.14,-2.05,1,0
7.60072,2108.68,-2.05,1,0
7.698181,2112.43,-2.05,1,0
7.809644,2110.97,-2.05,1,0
7.902348,2109.39,-2.05,1,0
8.002822,2108.27,-2.05,1,0
8.095894,2111.08,-2.05,1,0
8.195809,2110.71,-2.05,1,0
8.296906,2112.77,-2.05,1,0
8.397203,2111.53,-2.05,1,0
8.49852,2109.32,-2.05,1,0
8.598938,2111.27,-2.05,1,0
8.700549,2114.57,-2.05,1,0
8.811325,2112.43,-2.05,1,0
8.902801,2112.58,-2.05,1,0
9.001997,2113.37,-2.05,1,0
9.095902,2113.33,-2.05,1,0
9.196532,2113.67,-2.05,1,0
9.295184,2112.21,-2.05,1,0
9.394109,2112.21,-2.05,1,0
9.497334,2112.36,-2.05,1,0
9.605325,2112.99,-2.05,1,0
9.705053,2113.74,-2.05,1,0
9.804336,2111.16,-2.05,1,0
9.895585,2111.23,-2.05,1,0
9.995698,2111.16,-2.05,1,0
10.107953,2110.71,-2.05,1,0
10.203099,2110.93,-2.05,1,0
10.30144,2108.45,-2.05,1,0
10.405319,2108.38,-2.05,1,0
10.497732,2109.21,-2.05,1,0
10.59605,2110.03,-2.05,1,0
10.699222,2111.53,-2.05,1,0
10.796284,2111.42,-2.05,1,0
10.907494,2110.37,-2.05,1,0
11.005396,2109.62,-2.05,1,0
11.104331,2111.49,-2.05,1,0
11.199095,2112.62,-2.05,1,0
11.299827,2112.28,-2.05,1,0
11.397396,2111.61,-2.05,1,0
11.499858,2112.17,-2.05,1,0
11.60417,2112.09,-2.05,1,0
11.699317,2110.93,-2.05,1,0
11.800213,2111.01,-2.05,1,0
11.895009,2111.01,-2.1,1,0
11.99567,2110.07,-2.05,1,0
12.106333,2110.37,-2.05,1,0
12.199844,2110.41,-2.05,1,0
12.297997,2109.54,-2.05,1,0
12.39882,2111.94,-2.05,1,0
12.49953,2114.27,-2.05,1,0
12.602182,2114.49,-2.05,1,0
12.70195,2112.62,-2.05,1,0
12.80204,2110.97,-2.05,1,0
12.896597,2110.93,-2.05,1,0
12.996127,2111.38,-2.05,1,0
13.108956,2112.32,-2.05,1,0
13.203944,2109.92,-2.05,1,0
13.299883,2111.38,-2.05,1,0
13.40372,2109.51,-2.05,1,0
13.497267,2109.73,-2.05,1,0
13.601267,2110.29,-2.05,1,0
13.694907,2110.82,-2.05,1,0
13.801123,2111.49,-2.05,1,0
13.897415,2111.16,-2.05,1,0
14.009026,2111.91,-2.05,1,0
14.108921,2111.91,-2.05,1,0
14.20318,2112.73,-2.05,1,0
14.300951,2111.76,-2.05,1,0
14.403733,2111.27,-2.05,1,0
14.494976,2113.71,-2.05,1,0
14.596117,2110.93,-2.05,1,0
14.695377,2110.11,-2.1,1,0
14.804768,2109.47,-2.05,1,0
14.901375,2109.54,-2.05,1,0
15.002634,2111.68,-2.05,1,0
15.109492,2109.66,-2.05,1,0
15.205662,2110.97,-2.05,1,0
15.297083,2110.48,-2.05,1,0
15.395699,2108.57,-2.05,1,0
15.499782,2109.28,-2.05,1,0
15.596989,2111.08,-2.05,1,0
15.699334,2110.56,-2.05,1,0
15.810067,2110.03,-2.05,1,0
15.905295,2108.98,-2.05,1,0
16.002684,2108.79,-2.05,1,0
16.097885,2111.31,-2.05,1,0
16.197901,2114.76,-2.05,1,0
16.296518,2109.84,-2.05,1,0
16.395757,2109.47,-2.05,1,0
16.504977,2110.44,-2.05,1,0
16.599076,2111.23,-2.05,1,0
16.698481,2111.79,-2.05,1,0
16.81008,2111.04,-2.05,1,0
16.90581,2111.04,-2.05,1,0
17.00245,2111.76,-2.05,1,0
17.097189,2109.13,-2.05,1,0
17.198087,2108.91,-2.05,1,0
17.297858,2110.37,-2.05,1,0
17.398181,2110.18,-2.05,1,0
17.496399,2111.53,-2.05,1,0
17.601622,2110.14,-2.05,1,0
17.702817,2111.68,-2.05,1,0
17.79371,2111.68,-2.05,1,0
17.907292,2111.98,-2.05,1,0
18.005237,2112.69,-2.1,1,0
18.099991,2111.38,-2.05,1,0
18.197489,2110.71,-2.05,1,0
18.300561,2112.36,-2.05,1,0
18.40447,2111.34,-2.05,1,0
18.502641,2109.73,-2.05,1,0
18.597412,2110.74,-2.05,1,0
18.699828,2109.35,-2.05,1,0
18.80608,2109.81,-2.05,1,0
18.903701,2111.57,-2.05,1,0
19.002353,2110.18,-2.05,1,0
19.097294,2109.58,-2.05,1,0
19.199818,2110.41,-2.05,1,0
19.301754,2111.79,-2.05,1,0
19.399364,2111.98,-2.05,1,0
19.501617,2110.41,-2.05,1,0
19.603775,2110.59,-2.05,1,0
19.704344,2111.42,-2.05,1,0
19.797293,2111.94,-2.05,1,0
19.896645,2110.22,-2.05,1,0
20.009573,2110.29,-2.05,1,0
20.105029,2111.72,-2.05,1,0
20.203038,2110.44,-2.05,1,0
20.293251,2111.27,-2.05,1,0
20.393479,2111.19,-2.05,1,0
20.501475,2110.52,-2.05,1,0
20.605028,2108.79,-2.05,1,0
20.706996,2108.91,-2.05,1,0
20.802706,2111.53,-2.05,1,0
20.899363,2111.16,-2.05,1,0
20.993313,2110.48,-2.05,1,0
21.097881,2110.67,-2.05,1,0
21.198838,2112.66,-2.05,1,0
21.297491,2113.03,-2.05,1,0
21.398298,2106.35,-2.05,1,0
21.499152,2109.77,-2.05,1,0
21.597849,2108.94,-2.05,1,0
21.693781,2109.66,-2.05,1,0
21.805605,2109.02,-2.05,1,0
21.904209,2110.37,-2.05,1,0
21.996393,2110.89,-2.05,1,0
22.098537,2110.37,-2.05,1,0
22.194841,2110.22,-2.05,1,0
22.296117,2111.61,-2.05,1,0
22.394404,2108.75,-2.05,1,0
22.496748,2107.18,-2.05,1,0
22.597504,2108.57,-2.05,1,0
22.706064,2113.78,-2.05,1,0
22.80286,2111.91,-2.05,1,0
22.901779,2111.61,-2.05,1,0
22.995657,2110.48,-2.05,1,0
23.094009,2109.05,-2.05,1,0
23.195624,2109.43,-2.05,1,0
23.294513,2110.26,-2.05,1,0
23.397672,2108.68,-2.1,1,0
23.499927,2108.75,-2.05,1,0
23.597307,2104.78,-2.05,1,0
23.696893,2100.13,-2.05,1,0
23.795571,2097.39,-2.05,1,0
23.906766,2095.89,-2.05,1,0
24.009301,2096.68,-2.05,1,0
24.098692,2098.36,-2.05,1,0
24.200478,2098.7,-2.05,1,0
24.295452,2096.38,-2.05,1,0
24.399181,2095.21,-2.05,1,0
24.500449,2091.39,-2.05,1,0
24.59926,2092.47,-2.05,1,0
24.696237,2086.66,-2.05,1,0
24.796034,2083.77,-2.1,1,0
24.906755,2084.82,-3.5,1,0
25.003935,2083.02,-4.2,1,0
25.099573,2080.25,-205.6,1,1
25.203445,2088.01,-1235.6,0,1
25.298459,2092.59,-1300.0,0,1
25.400445,2096.04,-1247.95,0,1
25.503022,2092.4,-1201.5,0,1
25.603135,2089.32,-877.05,0,1
25.696479,2084.71,-528.9,0,1
25.796053,2086.47,-26.75,1,1
25.907001,2096.83,-2.3,1,0
25.99298,2089.62,-1.7,1,0
26.101721,2089.81,-1.8,1,0
26.1998,2101.81,-363.2,1,1
26.303738,2108.42,-541.95,0,1
26.401354,2107.22,-247.85,1,1
26.503628,2115.73,-717.75,0,1
26.599251,2112.99,-457.5,0,1
26.695565,2108.87,-203.95,1,1
26.795246,2108.91,2.1,1,0
26.905818,2110.11,5.9,1,0
27.003203,2109.21,12.3,1,0
27.099957,2102.38,13.4,1,0
27.20072,2107.48,14.35,1,0
27.3007,2111.34,12.6,1,0
27.401505,2111.61,-339.35,1,1
27.50166,2110.03,-204.9,0,1
27.600808,2109.81,-18.75,1,1
27.695205,2111.53,26.65,1,0
27.793957,2108.53,70.85,1,0
27.906143,2109.51,83.1,0,0
27.993438,2111.57,88.55,0,0
28.104629,2109.39,79.75,1,0
28.195751,2107.55,60.9,1,0
28.294056,2109.39,9.85,1,0
28.393993,2107.25,-0.55,1,0
28.504866,2106.09,-0.9,1,0
28.604581,2108.23,-1.1,1,0
28.699845,2107.22,-1.15,1,0
28.798592,2106.17,-1.65,1,0
28.894315,2105.94,-1.6,1,0
29.000065,2108.38,-2.2,1,0
29.097677,2107.07,-1.65,1,0
29.196485,2107.67,-2.1,1,0
29.29799,2106.35,-1.85,1,0
29.401566,2105.12,-2.05,1,0
29.497605,2105.23,-2.0,1,0
29.602325,2105.15,-2.05,1,0
29.705267,2104.52,-1.55,1,0
29.805609,2105.34,-1.7,1,0
29.910403,2106.02,-1.5,1,0
29.997976,2105.9,-1.6,1,0
30.097645,2107.55,-1.7,1,0
30.21522,2106.32,-1.75,1,0
30.299356,2105.15,-1.85,1,0
30.396481,2105.83,-1.9,1,0
30.498923,2105.87,-1.95,1,0
30.599155,2104.63,-1.9,1,0
30.708276,2105.15,-1.95,1,0
30.796699,2106.8,-1.95,1,0
30.906555,2104.52,-2.0,1,0
30.998525,2103.39,-2.0,1,0
31.101041,2103.2,-2.1,1,0
31.201394,2103.32,-429.7,1,1
31.301422,2104.78,-949.45,0,1
31.402924,2103.69,-691.4,0,1
31.51292,2103.24,-685.2,0,1
31.600421,2103.32,-387.75,1,1
31.698607,2103.28,-341.15,1,1
