Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,748.7,-2.05,1,0
0.098077,746.56,-2.05,1,0
0.201391,746.93,-2.05,1,0
0.299804,746.59,-2.05,1,0
0.40091,745.21,-2.05,1,0
0.497594,745.43,-2.05,1,0
0.595909,745.39,-2.05,1,0
0.693271,748.21,-2.05,1,0
0.798247,751.7,-2.05,1,0
0.893126,749.63,-2.05,1,0
0.994938,747.42,-2.05,1,0
1.093254,747.31,-2.05,1,0
1.197359,747.01,-2.05,1,0
1.300347,747.98,-2.05,1,0
1.395801,748.32,-2.05,1,0
1.496029,746.26,-2.05,1,0
1.600547,747.79,-2.05,1,0
1.697543,748.13,-2.05,1,0
1.796057,749.75,-2.05,1,0
1.892581,749.75,-2.05,1,0
1.993994,751.66,-2.05,1,0
2.103346,750.12,-2.05,1,0
2.1928,747.34,-2.05,1,0
2.296077,747.12,-2.05,1,0
2.395298,748.77,-2.05,1,0
2.508899,751.36,-2.05,1,0
2.601278,752.11,-2.05,1,0
2.696907,753.16,-2.05,1,0
2.795791,751.02,-2.05,1,0
2.908381,747.19,-2.05,1,0
3.003521,744.68,-2.05,1,0
3.095474,743.86,-2.05,1,0
3.196688,745.17,-2.05,1,0
3.292651,746.97,-2.05,1,0
3.39609,747.31,-2.05,1,0
3.497855,747.64,-2.05,1,0
3.596793,747.31,-2.05,1,0
3.708066,746.67,-2.05,1,0
3.801406,747.42,-2.05,1,0
3.895917,747.42,-2.05,1,0
3.992205,745.84,-2.05,1,0
4.102547,742.99,-2.05,1,0
4.204025,750.53,-2.05,1,0
4.29576,747.95,-2.05,1,0
4.397402,749.0,-2.05,1,0
4.493927,754.17,-2.05,1,0
4.595416,749.15,-2.05,1,0
4.702945,746.18,-2.05,1,0
4.802202,745.39,-2.05,1,0
4.903892,747.01,-2.05,1,0
4.99523,745.43,-2.05,1,0
5.095748,746.52,-2.05,1,0
5.202468,748.81,-2.05,1,0
5.297242,751.88,-2.05,1,0
5.401697,749.11,-2.05,1,0
5.49839,746.89,-2.05,1,0
5.59228,749.45,-2.05,1,0
5.695101,749.11,-2.05,1,0
5.802395,747.46,-2.05,1,0
5.901706,746.71,-2.05,1,0
5.997423,746.37,-2.05,1,0
6.108574,749.37,-2.05,1,0
6.191409,746.41,-2.05,1,0
6.300617,745.88,-2.05,1,0
6.397249,748.1,-2.05,1,0
6.495113,749.18,-2.05,1,0
6.594314,748.4,-2.05,1,0
6.694473,814.08,-2.05,1,0
6.803944,995.3,-2.05,1,0
6.90058,1260.18,-2.05,1,0
6.998064,1510.24,-2.05,1,0
7.104721,1658.45,-2.05,1,0
7.205255,1832.47,-2.05,1,0
7.307474,2421.72,-2.05,1,0
7.393693,2941.99,-2.05,1,0
7.499508,3450.36,-2.05,1,0
7.602242,4182.42,-2.05,1,0
7.702178,5477.99,-2.05,1,0
7.799489,6715.95,-2.05,1,0
7.89922,7752.72,-2.05,1,0
7.999362,11853.76,-2.05,1,0
8.095489,13609.24,-2.05,1,0
8.205019,14725.66,-2.05,1,0
8.305344,16603.8,-2.05,1,0
8.413458,19031.81,-2.05,1,0
8.491799,21576.6,-2.05,1,0
8.595945,25911.48,-2.05,1,0
8.697332,28071.39,-2.05,1,0
8.802395,29988.51,-2.05,1,0
8.893327,31676.1,-2.05,1,0
9.000027,33012.93,-2.05,1,0
9.094884,34148.11,-2.05,1,0
9.193075,36131.93,-2.05,1,0
9.303792,36695.29,-2.05,1,0
9.393706,37668.71,-2.05,1,0
9.503538,38836.89,-2.05,1,0
