Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,745.66,-2.05,1,0
0.106897,746.11,-2.05,1,0
0.201381,747.53,-2.05,1,0
0.300864,746.93,-2.05,1,0
0.414455,746.41,-2.05,1,0
0.510213,745.88,-2.05,1,0
0.604313,746.41,-2.05,1,0
0.711568,745.43,-2.05,1,0
0.808968,745.54,-2.05,1,0
0.906396,746.78,-2.05,1,0
1.005475,745.81,-2.05,1,0
1.106671,747.23,-2.05,1,0
1.20664,747.72,-2.05,1,0
1.30124,746.56,-2.05,1,0
1.396094,746.86,-2.05,1,0
1.509143,747.49,-2.05,1,0
1.603869,746.11,-2.05,1,0
1.698367,746.97,-2.05,1,0
1.81323,746.37,-2.05,1,0
1.903798,746.52,-2.05,1,0
2.001262,747.76,-2.05,1,0
2.10516,746.74,-2.05,1,0
2.201168,747.34,-2.05,1,0
2.308557,747.72,-2.05,1,0
2.406591,747.01,-2.05,1,0
2.499365,746.71,-2.05,1,0
2.600163,745.92,-2.05,1,0
2.699993,745.77,-2.05,1,0
2.796803,745.73,-2.05,1,0
2.900465,745.73,-2.05,1,0
2.995718,746.37,-2.05,1,0
3.107246,744.42,-2.05,1,0
3.199028,741.87,-2.05,1,0
3.29806,742.77,-2.05,1,0
3.402364,745.36,-2.05,1,0
3.500129,748.96,-2.05,1,0
3.595197,754.43,-2.05,1,0
3.700812,754.36,-2.05,1,0
3.803752,746.48,-2.05,1,0
3.903754,754.43,-2.05,1,0
4.00074,752.78,-2.05,1,0
4.10046,751.36,-2.05,1,0
4.20723,750.2,-2.05,1,0
4.303892,749.56,-2.05,1,0
4.399128,749.15,-2.05,1,0
4.517356,741.42,-2.05,1,0
4.613097,744.04,-2.05,1,0
4.70098,747.27,-2.05,1,0
4.81042,741.34,-2.05,1,0
4.89701,731.7,-2.05,1,0
5.006708,732.9,-2.05,1,0
5.105094,742.99,-2.05,1,0
5.202882,743.59,-2.05,1,0
5.307223,744.61,-2.05,1,0
5.399844,745.17,-2.05,1,0
5.506303,744.76,-2.05,1,0
5.610061,745.99,-2.05,1,0
5.701619,742.84,-2.05,1,0
5.800551,814.27,-2.05,1,0
6.395653,787.63,-2.05,1,0
6.495961,724.46,-2.05,1,0
6.598543,710.39,-2.05,1,0
6.706524,738.23,-2.05,1,0
6.823853,748.06,-2.05,1,0
6.901163,750.05,-2.05,1,0
6.997001,747.53,-2.05,1,0
7.101727,748.7,-2.05,1,0
7.19553,758.49,-2.05,1,0
7.300837,758.67,-2.05,1,0
