Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,739.65,-2.1,1,0
0.079752,739.13,-2.1,1,0
0.190521,738.38,-2.1,1,0
0.287369,738.45,-2.1,1,0
0.385689,738.49,-2.1,1,0
0.485893,737.85,-2.1,1,0
0.586464,738.12,-2.1,1,0
0.689038,738.0,-2.1,1,0
0.788061,737.1,-2.1,1,0
0.885325,737.93,-2.1,1,0
0.983797,736.35,-2.1,1,0
1.086042,737.67,-2.1,1,0
1.18532,740.93,-2.1,1,0
1.280639,739.2,-2.1,1,0
1.379908,738.9,-2.1,1,0
1.490572,738.68,-2.1,1,0
1.590264,738.45,-2.1,1,0
1.690622,738.42,-2.1,1,0
1.785544,737.52,-2.1,1,0
1.889863,736.73,-2.1,1,0
1.988498,738.98,-2.1,1,0
2.082618,737.48,-2.1,1,0
2.181418,736.88,-2.1,1,0
2.299155,737.74,-2.1,1,0
2.384726,736.95,-2.1,1,0
2.486041,736.92,-2.1,1,0
2.58443,738.04,-2.1,1,0
2.684911,738.3,-2.1,1,0
2.784292,736.65,-2.1,1,0
2.886148,736.62,-2.1,1,0
2.984452,736.99,-2.1,1,0
3.080884,739.73,-2.1,1,0
3.192257,739.99,-2.1,1,0
3.288462,744.61,-2.1,1,0
3.39806,739.35,-2.1,1,0
3.481389,734.29,-2.1,1,0
3.590389,737.48,-2.1,1,0
3.690317,739.28,-2.1,1,0
3.791011,738.49,-2.1,1,0
3.888007,739.43,-2.1,1,0
3.989161,741.27,-2.1,1,0
4.080939,743.71,-2.1,1,0
4.192983,752.6,-2.1,1,0
4.287851,809.02,-2.1,1,0
4.388084,834.04,-2.05,1,0
4.485954,578.31,-2.1,1,0
4.579275,382.5,-2.1,1,0
4.686612,509.48,-2.05,1,0
4.783288,686.95,-2.1,1,0
4.882307,704.09,-2.1,1,0
4.993723,774.99,-2.1,1,0
5.092958,748.62,-2.1,1,0
5.193289,749.82,-2.1,1,0
5.289086,764.11,-2.1,1,0
5.399122,757.66,-2.1,1,0
5.485417,775.25,-2.1,1,0
5.589507,848.59,-2.1,1,0
