Time__sec,Weight__g,Flow__mLPmin,FlowsensorError_Air,FlowsensorError_Overflow
0.0,52573.58,-2.3,1,0
0.093775,52476.27,-2.3,1,0
0.197644,52472.86,-2.3,1,0
0.293797,52655.55,-2.3,1,0
0.393848,52608.24,-2.3,1,0
0.48915,52495.41,-2.3,1,0
0.588141,52438.16,-2.3,1,0
0.690903,52391.83,-2.3,1,0
0.798126,52354.84,-2.3,1,0
0.892782,52353.42,-2.3,1,0
0.992479,52196.54,-2.3,1,0
1.089751,52178.57,-2.3,1,0
1.196652,52238.93,-2.3,1,0
1.290492,52209.37,-2.3,1,0
1.391662,52161.36,-2.3,1,0
1.494175,52185.7,-2.3,1,0
1.589614,52217.62,-2.3,1,0
1.689135,52181.91,-2.3,1,0
1.788506,52245.23,-2.3,1,0
1.893796,52222.09,-2.3,1,0
1.993906,52214.1,-2.3,1,0
2.090696,52168.56,-2.3,1,0
2.189278,52140.12,-2.3,1,0
2.302529,52100.81,-2.3,1,0
2.395009,52150.06,-2.3,1,0
2.491971,52288.48,-2.3,1,0
2.587986,52373.82,-2.3,1,0
2.697288,52149.24,-2.3,1,0
2.792006,51964.56,-2.3,1,0
2.894215,51622.75,-2.3,1,0
2.994087,51388.33,-2.3,1,0
3.086984,51678.98,-2.3,1,0
3.193513,51982.08,-2.3,1,0
3.292953,52449.75,-2.3,1,0
3.391046,52253.64,-2.3,1,0
3.490857,51947.91,-2.3,1,0
3.599066,52110.0,-2.3,1,0
3.691567,52491.43,-2.3,1,0
3.789113,52880.1,-2.3,1,0
3.915946,53185.56,-2.3,1,0
3.989591,52298.46,-2.3,1,0
4.093195,51657.3,-2.3,1,0
4.191938,51721.71,-2.3,1,0
4.287522,50860.27,-2.3,1,0
4.397664,49197.14,-2.3,1,0
4.488763,48080.09,-2.3,1,0
4.592731,48384.54,-2.3,1,0
4.697284,49727.27,-2.3,1,0
4.791668,51212.73,-2.3,1,0
4.891931,51330.37,-2.3,1,0
4.989519,51754.57,-2.3,1,0
5.09764,52281.66,-2.3,1,0
5.192592,52489.85,-2.3,1,0
5.301441,52590.46,-2.3,1,0
5.397441,53238.49,-2.3,1,0
5.493511,53470.36,-2.3,1,0
5.591896,53222.66,-2.3,1,0
5.689784,52083.82,-2.3,1,0
5.788422,51254.45,-2.3,1,0
5.889253,49273.44,-2.3,1,0
5.994676,45365.22,-2.3,1,0
6.094257,44742.62,-2.3,1,0
6.189714,44680.16,-2.3,1,0
6.298548,44719.66,-2.3,1,0
6.394376,44748.25,-2.3,1,0
6.500437,44827.18,-2.3,1,0
6.59403,44978.43,-2.3,1,0
6.692531,45756.52,-2.3,1,0
6.791228,45985.34,-2.3,1,0
6.891917,45895.12,-2.3,1,0
6.987578,45671.47,-2.3,1,0
7.092024,45357.57,-2.3,1,0
7.199504,45253.28,-2.3,1,0
